score_min,score_max,edge_score,score_median,total_edges,cut_edges,cut_rate,bin_left,bin_right
265.682846,265.86132,265.7708763333333,265.768463,3,1,0.3333333333333333,265.632,265.91
266.009479,266.114397,266.07065800000004,266.088098,3,0,0.0,265.91,266.187
266.82706,266.916656,266.871858,266.871858,2,0,0.0,266.741,267.019
267.36218,267.36218,267.36218,267.36218,1,0,0.0,267.296,267.573
267.642718,267.642718,267.642718,267.642718,1,0,0.0,267.573,267.85
267.985744,268.013001,267.9993725,267.9993725,2,0,0.0,267.85,268.128
268.748184,268.75501,268.751597,268.751597,2,0,0.0,268.682,268.96
269.051746,269.051746,269.051746,269.051746,1,1,1.0,268.96,269.237
269.344144,269.344144,269.344144,269.344144,1,0,0.0,269.237,269.514
269.590154,269.63461,269.6112346666667,269.60894,3,1,0.3333333333333333,269.514,269.791
269.955018,270.063673,270.006267,270.00011,3,0,0.0,269.791,270.069
270.091773,270.091773,270.091773,270.091773,1,0,0.0,270.069,270.346
271.075634,271.075634,271.075634,271.075634,1,1,1.0,270.901,271.178
271.501534,271.501534,271.501534,271.501534,1,0,0.0,271.455,271.732
272.087668,272.087668,272.087668,272.087668,1,1,1.0,272.01,272.287
272.463368,272.463368,272.463368,272.463368,1,0,0.0,272.287,272.564
272.675318,272.675318,272.675318,272.675318,1,0,0.0,272.564,272.841
272.973657,272.973657,272.973657,272.973657,1,0,0.0,272.841,273.119
273.149193,273.330059,273.23647725,273.23332849999997,4,0,0.0,273.119,273.396
273.772013,273.772013,273.772013,273.772013,1,0,0.0,273.673,273.951
274.004215,274.004215,274.004215,274.004215,1,0,0.0,273.951,274.228
274.946069,274.946069,274.946069,274.946069,1,0,0.0,274.782,275.06
275.073167,275.081655,275.077411,275.077411,2,1,0.5,275.06,275.337
276.25209,276.25209,276.25209,276.25209,1,0,0.0,276.169,276.446
276.517547,276.517547,276.517547,276.517547,1,0,0.0,276.446,276.723
277.72633,277.800083,277.7632065,277.7632065,2,0,0.0,277.555,277.832
278.093576,278.093576,278.093576,278.093576,1,0,0.0,277.832,278.11
278.22854,278.275457,278.2519985,278.2519985,2,0,0.0,278.11,278.387
278.414526,278.414526,278.414526,278.414526,1,0,0.0,278.387,278.664
279.643716,279.643716,279.643716,279.643716,1,0,0.0,279.496,279.773
279.950234,279.950234,279.950234,279.950234,1,0,0.0,279.773,280.051
280.062779,280.297763,280.1808793333333,280.182096,3,1,0.3333333333333333,280.051,280.328
280.375125,280.375125,280.375125,280.375125,1,0,0.0,280.328,280.605
280.996674,281.079461,281.0380675,281.0380675,2,0,0.0,280.883,281.16
281.19882,281.367609,281.28612375,281.289033,4,3,0.75,281.16,281.437
282.03809,282.03809,282.03809,282.03809,1,0,0.0,281.992,282.269
282.567588,282.742173,282.6548805,282.6548805,2,1,0.5,282.546,282.823
283.001675,283.001675,283.001675,283.001675,1,0,0.0,282.823,283.101
283.388905,283.388905,283.388905,283.388905,1,0,0.0,283.378,283.655
284.07211,284.07211,284.07211,284.07211,1,1,1.0,283.933,284.21
284.307061,284.307061,284.307061,284.307061,1,0,0.0,284.21,284.487
284.799216,284.799216,284.799216,284.799216,1,1,1.0,284.764,285.042
285.162778,285.162778,285.162778,285.162778,1,0,0.0,285.042,285.319
285.563396,285.563396,285.563396,285.563396,1,0,0.0,285.319,285.596
285.838281,285.838281,285.838281,285.838281,1,0,0.0,285.596,285.874
287.065994,287.117763,287.0918785,287.0918785,2,1,0.5,286.983,287.26
287.366373,287.429819,287.398096,287.398096,2,0,0.0,287.26,287.537
288.032077,288.032077,288.032077,288.032077,1,0,0.0,287.814,288.092
288.862484,288.862484,288.862484,288.862484,1,0,0.0,288.646,288.924
289.853073,289.97013,289.91160149999996,289.91160149999996,2,0,0.0,289.755,290.033
290.052775,290.278913,290.165844,290.165844,2,0,0.0,290.033,290.31
290.704641,290.704641,290.704641,290.704641,1,0,0.0,290.587,290.865
291.19861,291.19861,291.19861,291.19861,1,0,0.0,291.142,291.419
291.666974,291.666974,291.666974,291.666974,1,0,0.0,291.419,291.696
292.555955,292.572312,292.5641335,292.5641335,2,0,0.0,292.528,292.805
293.726843,293.726843,293.726843,293.726843,1,0,0.0,293.637,293.915
295.50345,295.50345,295.50345,295.50345,1,0,0.0,295.301,295.578
295.639179,295.639179,295.639179,295.639179,1,1,1.0,295.578,295.856
297.014615,297.129302,297.0719585,297.0719585,2,0,0.0,296.965,297.242
297.378191,297.378191,297.378191,297.378191,1,0,0.0,297.242,297.519
297.772392,297.772392,297.772392,297.772392,1,0,0.0,297.519,297.796
297.85806,297.85806,297.85806,297.85806,1,1,1.0,297.796,298.074
298.346234,298.346234,298.346234,298.346234,1,0,0.0,298.074,298.351
299.262087,299.262951,299.262519,299.262519,2,1,0.5,299.183,299.46
299.802742,299.802742,299.802742,299.802742,1,1,1.0,299.737,300.015
300.094869,300.156129,300.125499,300.125499,2,0,0.0,300.015,300.292
302.028909,302.028909,302.028909,302.028909,1,0,0.0,301.956,302.233
302.31487,302.31487,302.31487,302.31487,1,1,1.0,302.233,302.51
302.785027,302.785027,302.785027,302.785027,1,0,0.0,302.51,302.787
304.437643,304.437643,304.437643,304.437643,1,0,0.0,304.174,304.451
304.740318,304.740318,304.740318,304.740318,1,0,0.0,304.728,305.006
305.644405,305.644405,305.644405,305.644405,2,0,0.0,305.56,305.838
306.33259,306.33259,306.33259,306.33259,1,0,0.0,306.115,306.392
309.544973,309.68322,309.6140965,309.6140965,2,0,0.0,309.442,309.719
314.635514,314.635514,314.635514,314.635514,1,1,1.0,314.433,314.71
315.675233,315.675233,315.675233,315.675233,1,0,0.0,315.542,315.82
316.488286,316.488286,316.488286,316.488286,1,0,0.0,316.374,316.651
316.720079,316.72556,316.7228195,316.7228195,2,0,0.0,316.651,316.929
317.237323,317.237323,317.237323,317.237323,1,0,0.0,317.206,317.483
317.854373,317.854373,317.854373,317.854373,1,0,0.0,317.76,318.038
320.025944,320.025944,320.025944,320.025944,1,0,0.0,319.979,320.256
320.738014,320.738014,320.738014,320.738014,1,0,0.0,320.533,320.811
321.078779,321.078779,321.078779,321.078779,1,0,0.0,320.811,321.088
321.119089,321.20653,321.148236,321.119089,3,0,0.0,321.088,321.365
322.099795,322.099795,322.099795,322.099795,1,1,1.0,321.92,322.197
323.891011,323.891011,323.891011,323.891011,1,0,0.0,323.861,324.138
324.577912,324.577912,324.577912,324.577912,1,0,0.0,324.415,324.692
325.682958,325.682958,325.682958,325.682958,1,0,0.0,325.524,325.802
327.399184,327.399184,327.399184,327.399184,1,0,0.0,327.188,327.465
